Patron,Card Barcode,Year Joined,Patron Phone,Book Barcode,Title,Year,Author,Author Year,Publisher,Publisher Phone,Checkout,Due,Returned
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,7850851362293096790613312,Think Complexity,1729,"Downey, Allen",1430,Routledge,+1-(476)-431-0927,2458153.5,2458161.5,1
Asa Small,9637502981006384207558569,1971,1-240-960-8564,6920314026245367168867860,"Raisin in the Sun, A",1816,"Hansberry, Lorraine",1966,Vintage,1-501-202-7994,2458132.5,2458164.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,3542432462094771725658803,India's Legal System,1104,Nariman,1865,BBC,(277) 273-2102,2458140.5,2458182.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,9154137231799014408946719,Think Complexity,1035,"Downey, Allen",1430,Penguin,824.149.4511,2458132.5,2458163.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,6130961084475410259562053,"Outsider, The",1116,"Camus, Albert",1719,Elsevier,359.226.5396,2458232.5,2458250.5,1
Lawerence Marks,9038345780945157307609335,1992,992-344-1311,9645404695080235750399941,Journal of a Novel,1439,"Steinbeck, John",1733,Random,+1-(530)-757-4100,2458224.5,2458262.5,1
Lynna Finch,5982102087757630126641232,2017,1-572-598-9027,4809007541753579014085228,"Ropemaker, The",1770,"Dickinson, Peter",1441,Penguin,824.149.4511,2458156.5,2458172.5,1
Asa Small,9637502981006384207558569,1971,1-240-960-8564,9873338102403652615688336,"Hunchback of Notre Dame, The",1034,"Hugo, Victor",1658,Routledge,+1-(476)-431-0927,2458178.5,2458195.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,4265473512214978868541464,Girl who played with Fire,1809,"Larsson, Steig",1938,Picador,+1-(351)-688-5454,2458190.5,2458202.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,0959559169198635202223932,One,1610,"Bach, Richard",1468,TMH,1-239-558-4462,2458236.5,2458244.5,1
Mose Chambers,7900253221375390247431920,2007,1-631-997-5729,1291617174381180834387261,Principles of Communication Systems,1471,"Taub, Schilling",1514,Hyperion,882.640.9487,2458136.5,2458165.5,1
Emery Byrd,6559549596782707989229204,1971,(463) 978-2687,1296174474943930377711515,"History of England, Foundation",1571,"Ackroyd, Peter",1516,HighStakes,218.696.0130,2458225.5,2458226.5,1
Yanira Wheeler,4727498535203287930603641,2003,+1-(996)-216-1891,9468369627589618888947807,Girl with the Dragon Tattoo,1588,"Larsson, Steig",1938,FreePress,890.262.9357,2458258.5,2458273.5,1
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,0000598019525803034955452,Superfreakonomics,1774,"Dubner, Stephen",1810,Random House,502.110.3821,2458293.5,2458306.5,1
